11673,b25lYml0YmV5b25k,ContainThis,38662,76561197970332320,141,39
11674,b25lYml0YmV5b25k,ThrillSeeker,66499,76561197970332320,213,52
11677,b25lYml0YmV5b25k,SeekerEnlightenment,35214,76561197970332320,108,28
11679,b25lYml0YmV5b25k,PortalImmortal,24248,76561197970332320,304,85
11682,b25lYml0YmV5b25k,Frame,15183,76561197970332320,121,32
11684,b25lYml0YmV5b25k,HighwayPatrol,16940,76561197970332320,272,73
11685,b25lYml0YmV5b25k,PackedMan,20574,76561197970332320,163,42
11686,b25lYml0YmV5b25k,TripleChocChipped,34170,76561197970332320,337,73
11687,b25lYml0YmV5b25k,Crunch,20891,76561197970332320,554,136
11689,b25lYml0YmV5b25k,CrouchEnd,21375,76561197970332320,275,82
11691,b25lYml0YmV5b25k,CamerOn,22085,76561197970332320,407,116
11696,QWpheCBQbGlza2lu,AllGoodThings,58431,76561197965112672,409,94
11697,QWpheCBQbGlza2lu,ExplodaPatrolla,33894,76561197965112672,112,28
11698,QWpheCBQbGlza2lu,LightWeight,22971,76561197965112672,151,39
11699,QWpheCBQbGlza2lu,PortAllStarboard,17875,76561197965112672,94,27
11700,ZGFudGhhdA==,section1138,9971,76561197970332320,131,35
11701,QWpheCBQbGlza2lu,RobotRelation,30344,76561197965112672,307,78
11702,QWpheCBQbGlza2lu,SlowBastard,18306,76561197965112672,97,24
11703,QWpheCBQbGlza2lu,TradingPlaces,41693,76561197965112672,322,82
11710,R2F6b2lk,BlockBridge,25777,76561197967902864,289,80
11711,R2F6b2lk,FallenFaith,44738,76561197967902864,2078,475
11712,R2F6b2lk,LaserLink,33260,76561197967902864,5051,1128
11713,R2F6b2lk,LightMix,21911,76561197967902864,3280,725
11714,R2F6b2lk,RoboRecruit,31597,76561197967902864,224,58
11715,R2F6b2lk,RouteMaster,26840,76561197967902864,90,22
11716,R2F6b2lk,TwoGuardians,48203,76561197967902864,252,59
11717,VHJhaXRvciBNYWdudXM=,TestMapPoop,5190,76561197960791792,359,137
11718,SGVwaHk=,shorty,7341,76561198010737664,286,100
11719,fiBIRUFWRU4zMQ==,ClickandRun,5782,76561197961576944,237,77
11720,RmlyemVuNzc3,Lab777Choice,56691,76561197982380672,117,33
11722,fiBIRUFWRU4zMQ==,RunForYourLife,8125,76561197961576944,109,33
11723,RmlyemVuNzc3,shorty,26247,76561197982380672,291,90
11726,QW50aG9ueSBRdmFybnN0cm9t,OnTheEdge,16150,76561197972428656,81,22
11728,PUVja289Tm92YQ==,WakingUp,8381,76561197987874528,219,59
11729,LS0=,TrialRunMk1,2810,76561198025307056,169,49
11730,PUVja289Tm92YQ==,SearchCenter,11888,76561197987874528,209,57
11731,QW5nZWxvZkRldg==,DumbClones,4285,76561197972038528,213,66
11733,PUVja289Tm92YQ==,DeathSector,16083,76561197987874528,157,40
